6
60
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
0 61 57 4 29 32 36 25 33 28 24 37 60 1 5 56 2 63 59 6 31 34 38 27 35 30 26 39 62 3 7 58 14 51 55 10 19 46 42 23 47 18 22 43 50 15 11 54 12 49 53 8 17 44 40 21 45 16 20 41 48 13 9 52
0 61 50 15 56 5 10 55 52 9 6 59 12 49 62 3 44 17 30 35 20 41 38 27 24 37 42 23 32 29 18 47 28 33 46 19 36 25 22 43 40 21 26 39 16 45 34 31 48 13 2 63 8 53 58 7 4 57 54 11 60 1 14 51
0 61 43 22 56 5 19 46 51 14 24 37 11 54 32 29 53 8 30 35 13 48 38 27 6 59 45 16 62 3 21 40 28 33 55 10 36 25 15 50 47 18 4 57 23 42 60 1 41 20 2 63 17 44 58 7 26 39 49 12 34 31 9 52
0 61 39 26 3 62 36 25 33 28 6 59 34 31 5 56 2 63 37 24 1 60 38 27 35 30 4 57 32 29 7 58 9 52 46 19 10 55 45 16 40 21 15 50 43 22 12 49 11 54 44 17 8 53 47 18 42 23 13 48 41 20 14 51
0 61 23 42 29 32 10 55 52 9 35 30 41 20 62 3 44 17 59 6 49 12 38 27 24 37 15 50 5 56 18 47 14 51 25 36 19 46 4 57 58 7 45 16 39 26 48 13 34 31 53 8 63 2 40 21 22 43 1 60 11 54 28 33
0 61 16 45 3 62 19 46 51 14 35 30 48 13 32 29 53 8 37 24 54 11 38 27 6 59 22 43 5 56 21 40 9 52 25 36 10 55 26 39 58 7 42 23 57 4 41 20 60 1 44 17 63 2 47 18 15 50 31 34 12 49 28 33
0 58 57 3 26 32 35 25 63 5 6 60 37 31 28 38 27 33 34 24 1 59 56 2 36 30 29 39 62 4 7 61 9 51 48 10 19 41 42 16 54 12 15 53 44 22 21 47 18 40 43 17 8 50 49 11 45 23 20 46 55 13 14 52
0 58 53 15 38 28 19 41 51 9 6 60 21 47 32 26 43 17 30 36 13 55 56 2 24 34 45 23 62 4 11 49 5 63 48 10 35 25 22 44 54 12 3 57 16 42 37 31 46 20 27 33 8 50 61 7 29 39 40 18 59 1 14 52
0 58 44 22 38 28 10 48 52 14 24 34 18 40 62 4 50 8 30 36 20 46 56 2 6 60 42 16 32 26 12 54 5 63 41 19 35 25 15 53 49 11 29 39 23 45 59 1 55 13 27 33 17 43 61 7 3 57 47 21 37 31 9 51
0 58 39 29 4 62 35 25 63 5 24 34 59 1 28 38 27 33 60 6 31 37 56 2 36 30 3 57 32 26 7 61 14 52 41 19 10 48 45 23 49 11 22 44 53 15 18 40 21 47 50 8 17 43 54 12 42 16 13 55 46 20 9 51
0 58 23 45 4 62 19 41 51 9 36 30 55 13 32 26 43 17 60 6 47 21 56 2 24 34 15 53 28 38 11 49 14 52 25 35 10 48 29 39 61 7 42 16 57 3 46 20 37 31 50 8 33 27 54 12 22 44 1 59 18 40 5 63
0 58 16 42 26 32 10 48 52 14 36 30 46 20 62 4 50 8 34 24 40 18 56 2 6 60 22 44 28 38 12 54 9 51 25 35 19 41 3 57 61 7 45 23 39 29 55 13 59 1 43 17 33 27 49 11 15 53 31 37 21 47 5 63
0 54 57 15 42 28 19 37 51 5 10 60 25 47 32 22 23 33 46 24 61 11 4 50 36 18 29 43 14 56 55 1 9 63 48 6 35 21 26 44 58 12 3 53 16 38 41 31 30 40 39 17 52 2 13 59 45 27 20 34 7 49 62 8
0 54 53 3 22 32 35 21 63 9 10 60 41 31 28 42 39 17 18 36 49 7 4 50 24 46 45 27 14 56 59 13 5 51 48 6 19 37 38 16 58 12 15 57 44 26 25 47 34 20 23 33 52 2 1 55 29 43 40 30 11 61 62 8
0 54 44 26 42 28 6 48 8 62 36 18 34 20 14 56 2 52 46 24 40 30 4 50 10 60 38 16 32 22 12 58 9 63 37 19 35 21 15 57 1 55 45 27 43 29 7 49 11 61 39 17 33 23 13 59 3 53 47 25 41 31 5 51
0 54 43 29 56 14 19 37 51 5 24 46 11 61 32 22 23 33 60 10 47 25 4 50 36 18 15 57 28 42 55 1 62 8 21 35 6 48 45 27 13 59 38 16 53 3 30 40 41 31 2 52 17 39 58 12 26 44 49 7 34 20 9 63
0 54 27 45 56 14 35 21 63 9 36 18 7 49 28 42 39 17 60 10 31 41 4 50 24 46 3 53 32 22 59 13 62 8 37 19 6 48 29 43 1 55 26 44 57 15 34 20 25 47 2 52 33 23 58 12 38 16 61 11 30 40 5 51
0 54 16 38 22 32 6 48 8 62 24 46 30 40 14 56 2 52 18 36 20 34 4 50 10 60 26 44 28 42 12 58 5 51 21 35 19 37 3 53 13 59 29 43 27 45 11 61 7 49 23 33 17 39 1 55 15 57 31 41 25 47 9 63
0 49 53 4 45 28 24 41 17 32 36 21 60 13 9 56 2 51 55 6 47 30 26 43 19 34 38 23 62 15 11 58 14 63 59 10 35 18 22 39 31 46 42 27 50 3 7 54 12 61 57 8 33 16 20 37 29 44 40 25 48 1 5 52
0 49 50 3 56 9 10 59 52 5 6 55 12 61 62 15 16 33 34 19 40 25 26 43 36 21 22 39 28 45 46 31 32 17 18 35 24 41 42 27 20 37 38 23 44 29 30 47 48 1 2 51 8 57 58 11 4 53 54 7 60 13 14 63
0 49 44 29 15 62 35 18 63 14 19 34 48 1 28 45 57 8 21 36 54 7 26 43 6 55 42 27 9 56 37 20 5 52 41 24 10 59 38 23 58 11 22 39 53 4 25 40 60 13 16 33 51 2 31 46 3 50 47 30 12 61 32 17
